FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,final1,final2
1,0.14473684210526316,0.20270270270270271,0.14473684210526316,0.20270270270270271,0.6666666666666666,0.8888888888888888,0,0,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.2222222222222222,0.2222222222222222,8.0,0.0,1.0
1,0.18421052631578946,0.14864864864864866,0.18421052631578946,0.14864864864864866,1.0,1.2222222222222223,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.2222222222222222,0.0,2.0,0.0,1.0
0,0.13157894736842105,0.08108108108108109,0.13157894736842105,0.08108108108108109,0.6666666666666666,1.0,1,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.3333333333333333,-0.4444444444444444,-9.0,1.0,0.0
1,0.11842105263157895,0.25675675675675674,0.11842105263157895,0.25675675675675674,1.8888888888888888,1.5555555555555556,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,0.6666666666666666,-1.0,0.0,1.0
1,0.11842105263157895,0.20270270270270271,0.11842105263157895,0.20270270270270271,1.1111111111111112,1.5555555555555556,1,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.4444444444444444,0.3333333333333333,12.0,0.0,1.0
0,0.2631578947368421,0.16216216216216214,0.2631578947368421,0.16216216216216214,1.7,0.6,3,3,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,1.1,0.1,-16.0,1.0,0.0
1,0.09210526315789473,0.21621621621621626,0.09210526315789473,0.21621621621621626,0.9,2.2,1,0,1,3,3,0,3,1,0,0,0,0,0,0,0,0,0.0,0.0,-1.3,-0.5,13.0,0.0,1.0
0,0.15789473684210525,0.13513513513513514,0.15789473684210525,0.13513513513513514,1.0,1.0,0,3,3,0,1,1,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,-6.0,1.0,0.0
0,0.15789473684210525,0.21621621621621626,0.15789473684210525,0.21621621621621626,0.9,1.0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.1,-0.3,-8.0,1.0,0.0
0,0.2236842105263158,0.12162162162162166,0.2236842105263158,0.12162162162162166,1.7,1.5,3,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,-0.1,-4.0,1.0,0.0
0,0.15789473684210525,0.12162162162162166,0.15789473684210525,0.12162162162162166,0.6,1.7,1,0,1,1,1,3,3,3,0,0,1,0,1,0,0,0,0.0,0.0,-1.1,-1.1,14.0,1.0,0.0
1,0.07894736842105263,0.0945945945945946,0.07894736842105263,0.0945945945945946,1.1,1.0,1,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,-9.0,0.0,1.0
1,0.14473684210526316,0.16216216216216214,0.14473684210526316,0.16216216216216214,1.2,0.9,0,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,8.0,0.0,1.0
0,0.2631578947368421,0.10810810810810813,0.2631578947368421,0.10810810810810813,1.1,1.2,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.1,0.0,2.0,1.0,0.0
0,0.2236842105263158,0.14864864864864866,0.2236842105263158,0.14864864864864866,1.0,1.5,1,1,3,1,3,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.5,-0.8,8.0,1.0,0.0
1,0.09210526315789473,0.1891891891891892,0.09210526315789473,0.1891891891891892,1.0,0.5454545454545454,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4545454545454545,0.0,-2.0,0.0,1.0
0,0.11842105263157895,0.21621621621621626,0.11842105263157895,0.21621621621621626,0.8181818181818182,0.9090909090909092,1,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.09090909090909093,-0.18181818181818185,-1.0,1.0,0.0
1,0.25,0.16216216216216214,0.25,0.16216216216216214,1.181818181818182,1.181818181818182,3,1,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.4545454545454545,12.0,0.0,1.0
0,0.15789473684210525,0.13513513513513514,0.15789473684210525,0.13513513513513514,1.0909090909090908,1.3636363636363635,1,0,3,0,1,0,3,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.2727272727272727,-0.09090909090909093,9.0,1.0,0.0
1,0.15789473684210525,0.08108108108108109,0.15789473684210525,0.08108108108108109,1.0909090909090908,1.0909090909090908,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
0,0.2236842105263158,0.17567567567567569,0.2236842105263158,0.17567567567567569,1.818181818181818,0.8181818181818182,3,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.4545454545454545,-16.0,1.0,0.0
0,0.10526315789473684,0.16216216216216214,0.10526315789473684,0.16216216216216214,1.0909090909090908,0.9090909090909092,1,3,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.18181818181818185,0.0,-3.0,1.0,0.0
1,0.2631578947368421,0.28378378378378377,0.2631578947368421,0.28378378378378377,1.818181818181818,1.2727272727272727,3,3,3,1,3,3,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.5454545454545454,0.18181818181818185,-8.0,0.0,1.0
0,0.17105263157894735,0.21621621621621626,0.17105263157894735,0.21621621621621626,1.0909090909090908,2.272727272727273,3,3,1,1,3,3,0,3,0,0,0,0,0,0,0,0,0.0,0.0,-1.181818181818182,-0.2727272727272727,4.0,1.0,0.0
1,0.15789473684210525,0.16216216216216214,0.15789473684210525,0.16216216216216214,1.3636363636363635,1.5454545454545454,1,3,0,0,1,1,3,3,0,0,0,0,1,0,0,0,0.0,0.0,-0.18181818181818185,-0.09090909090909093,8.0,0.0,1.0
0,0.1973684210526316,0.12162162162162166,0.1973684210526316,0.12162162162162166,0.8333333333333334,1.0,1,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0.0,0.0,-0.16666666666666666,-0.16666666666666666,-5.0,1.0,0.0
1,0.14473684210526316,0.13513513513513514,0.14473684210526316,0.13513513513513514,1.25,1.25,1,1,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.08333333333333333,-5.0,0.0,1.0
0,0.11842105263157895,0.28378378378378377,0.11842105263157895,0.28378378378378377,1.0833333333333333,1.1666666666666667,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0.0,0.0,-0.08333333333333333,-0.3333333333333333,-10.0,1.0,0.0
0,0.2236842105263158,0.17567567567567569,0.2236842105263158,0.17567567567567569,2.083333333333333,1.0833333333333333,1,3,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.4166666666666667,-6.0,1.0,0.0
1,0.17105263157894735,0.21621621621621626,0.17105263157894735,0.21621621621621626,1.1666666666666667,1.25,0,3,0,3,3,1,0,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.08333333333333333,0.25,-7.0,0.0,1.0
1,0.15789473684210525,0.25675675675675674,0.15789473684210525,0.25675675675675674,1.6666666666666667,1.9166666666666667,3,1,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.25,-0.16666666666666666,2.0,0.0,1.0
1,0.2894736842105263,0.14864864864864866,0.2894736842105263,0.14864864864864866,1.4166666666666667,1.0,3,3,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4166666666666667,0.5,-3.0,0.0,1.0
1,0.21052631578947367,0.16216216216216214,0.21052631578947367,0.16216216216216214,0.5833333333333334,1.25,0,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.6666666666666666,-0.16666666666666666,9.0,0.0,1.0
