FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
H,0.11842105263157894,0.13513513513513514,0.11842105263157894,0.13513513513513514,1.3333333333333333,1.0,D,D,W,W,D,L,D,D,D,W,0,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,3.0
NH,0.14473684210526316,0.20270270270270271,0.14473684210526316,0.20270270270270271,0.6666666666666666,0.8888888888888888,D,D,W,D,L,D,L,L,W,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.2222222222222222,0.2222222222222222,8.0
NH,0.18421052631578946,0.14864864864864866,0.18421052631578946,0.14864864864864866,1.0,1.2222222222222223,D,W,D,L,D,W,D,D,D,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.2222222222222222,0.0,2.0
H,0.13157894736842105,0.08108108108108109,0.13157894736842105,0.08108108108108109,0.6666666666666666,1.0,L,L,D,L,D,D,L,W,D,D,0,0,0,0,0,0,0,0,0.0,0.0,-0.3333333333333333,-0.4444444444444444,-9.0
NH,0.11842105263157894,0.25675675675675674,0.11842105263157894,0.25675675675675674,1.8888888888888888,1.5555555555555556,W,W,W,W,D,W,L,L,D,W,0,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,0.6666666666666666,-1.0
NH,0.11842105263157894,0.20270270270270271,0.11842105263157894,0.20270270270270271,1.1111111111111112,1.5555555555555556,L,W,W,D,W,D,D,D,W,D,0,0,0,0,0,0,0,0,0.0,0.0,-0.4444444444444444,0.3333333333333333,12.0
H,0.2631578947368421,0.16216216216216217,0.2631578947368421,0.16216216216216217,1.7,0.6,W,W,L,L,D,L,D,D,W,D,0,0,0,0,0,0,0,0,0.0,0.0,1.1,0.1,-16.0
NH,0.09210526315789473,0.21621621621621623,0.09210526315789473,0.21621621621621623,0.9,2.2,L,D,L,W,D,W,D,W,L,W,0,0,0,0,0,0,0,0,0.0,0.0,-1.3,-0.5,13.0
H,0.15789473684210525,0.13513513513513514,0.15789473684210525,0.13513513513513514,1.0,1.0,D,W,W,D,L,L,L,W,W,D,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,-6.0
H,0.15789473684210525,0.21621621621621623,0.15789473684210525,0.21621621621621623,0.9,1.0,L,L,D,D,D,D,D,W,D,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.1,-0.3,-8.0
H,0.2236842105263158,0.12162162162162163,0.2236842105263158,0.12162162162162163,1.7,1.5,W,D,D,D,W,D,W,W,L,W,0,0,0,0,0,0,0,0,0.0,0.0,0.2,-0.1,-4.0
H,0.15789473684210525,0.12162162162162163,0.15789473684210525,0.12162162162162163,0.6,1.7,L,D,L,L,L,L,W,W,W,W,0,0,1,0,1,0,0,0,0.0,0.0,-1.1,-1.1,14.0
NH,0.07894736842105263,0.0945945945945946,0.07894736842105263,0.0945945945945946,1.1,1.0,L,D,L,W,D,W,L,L,D,L,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,-9.0
NH,0.14473684210526316,0.16216216216216217,0.14473684210526316,0.16216216216216217,1.2,0.9,D,W,D,D,D,W,L,L,D,L,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,8.0
H,0.2631578947368421,0.10810810810810811,0.2631578947368421,0.10810810810810811,1.1,1.2,W,D,L,L,W,W,D,D,D,D,0,0,0,0,0,0,0,0,0.0,0.0,-0.1,0.0,2.0
H,0.2236842105263158,0.14864864864864866,0.2236842105263158,0.14864864864864866,1.0,1.5,L,L,W,L,L,W,D,D,W,W,0,0,0,0,0,0,0,0,0.0,0.0,-0.5,-0.8,8.0
NH,0.09210526315789473,0.1891891891891892,0.09210526315789473,0.1891891891891892,1.0,0.5454545454545454,D,W,L,L,D,L,L,D,D,W,0,0,0,0,0,0,0,0,0.0,0.0,0.45454545454545453,0.0,-2.0
